energy,health,age,alive,planet_temp,planet_weather,hazards_count,inventory_food,inventory_water,inventory_materials,inventory_tools,successful_hunts,escapes,builds,trades,reproductions,attacks,gathers,explorations,hazard_radiation,hazard_toxic_gases,hazard_heat_stroke,hazard_freezing,action,action_success,decision_reason,tick,timestamp
52,82,4,1,0,,0,9,9,6,0,0,0,0,0,0,0,0,1,0,0,0,0,EXPLORE,1,unknown,4,2025-05-12T06:37:58.891130
55,82,5,1,0,,0,8,8,7,0,0,0,0,0,0,0,0,1,0,0,0,0,REST,1,unknown,5,2025-05-12T06:37:58.925629
55,82,5,1,0,,0,8,8,5,0,0,0,0,0,0,0,0,1,0,0,0,0,REST,1,unknown,5,2025-05-12T06:37:58.932755
55,82,5,1,0,,0,8,8,6,0,0,0,0,0,0,0,0,1,0,0,0,0,REST,1,unknown,5,2025-05-12T06:37:58.945965
58,82,6,1,0,,0,7,7,7,0,0,0,0,0,0,0,0,1,0,0,0,0,REST,1,unknown,6,2025-05-12T06:37:58.979708
58,82,6,1,0,,0,7,7,5,0,0,0,0,0,0,0,0,1,0,0,0,0,REST,1,unknown,6,2025-05-12T06:37:59.008740
58,82,6,1,0,,0,7,7,6,0,0,0,0,0,0,0,0,1,0,0,0,0,REST,1,unknown,6,2025-05-12T06:37:59.032440
41,78,7,1,0,,0,7,7,7,0,0,0,0,0,0,0,0,2,0,0,0,0,EXPLORE,1,unknown,7,2025-05-12T06:37:59.042321
41,78,7,1,0,,0,7,7,5,0,0,0,0,0,0,0,0,2,0,0,0,0,EXPLORE,1,unknown,7,2025-05-12T06:37:59.050493
41,78,7,1,0,,0,7,7,6,0,0,0,0,0,0,0,0,1,0,0,0,0,EXPLORE,0,unknown,7,2025-05-12T06:37:59.059294
34,76,8,1,0,,0,7,7,7,0,0,0,0,0,0,0,0,2,0,0,0,0,HIDE,1,unknown,8,2025-05-12T06:37:59.125517
34,76,8,1,0,,0,7,7,5,0,0,0,0,0,0,0,0,2,0,0,0,0,HIDE,0,unknown,8,2025-05-12T06:37:59.194338
34,76,8,1,0,,0,7,7,6,0,0,0,0,0,0,0,0,1,0,0,0,0,HIDE,1,unknown,8,2025-05-12T06:37:59.216299
27,72,9,1,0,,0,7,7,7,0,0,0,0,0,0,0,0,2,0,0,0,0,HIDE,1,unknown,9,2025-05-12T06:37:59.227477
27,72,9,1,0,,0,7,7,5,0,0,0,0,0,0,0,0,2,0,0,0,0,HIDE,1,unknown,9,2025-05-12T06:37:59.321402
27,72,9,1,0,,0,7,7,6,0,0,0,0,0,0,0,0,1,0,0,0,0,HIDE,1,unknown,9,2025-05-12T06:37:59.342186
30,72,10,1,0,,0,6,6,7,0,0,0,0,0,0,0,0,2,0,0,0,0,REST,1,unknown,10,2025-05-12T06:37:59.389765
30,72,10,1,0,,0,6,6,5,0,0,0,0,0,0,0,0,2,0,0,0,0,REST,0,unknown,10,2025-05-12T06:37:59.444009
30,72,10,1,0,,0,6,6,6,0,0,0,0,0,0,0,0,1,0,0,0,0,REST,1,unknown,10,2025-05-12T06:37:59.473651
78,93,1,1,0,,0,10,10,5,2,0,1,0,0,0,0,0,0,0,0,0,0,FLEE,1,unknown,1,2025-05-12T06:37:58.863798
78,93,1,1,0,,0,10,10,5,2,0,1,0,0,0,0,0,0,0,0,0,0,FLEE,1,unknown,1,2025-05-12T06:37:58.864626
78,93,1,1,0,,0,10,10,5,2,0,1,0,0,0,0,0,0,0,0,0,0,FLEE,1,unknown,1,2025-05-12T06:37:58.868122
81,91,2,1,0,,0,9,9,5,2,0,1,0,0,0,0,0,0,0,0,0,0,REST,1,unknown,2,2025-05-12T06:37:58.869151
